from_entity,to_entity,relationship_type,properties,strength,created_at
person_1,company_1,WORKS_FOR,"{""position"": ""Senior ML Engineer"", ""start_date"": ""2022-01-01""}",0.9,"2023-01-15T10:30:00Z"
person_2,company_2,WORKS_FOR,"{""position"": ""Lead Data Scientist"", ""start_date"": ""2021-06-01""}",0.9,"2023-01-16T09:15:00Z"
person_3,company_1,WORKS_FOR,"{""position"": ""AI Product Manager"", ""start_date"": ""2022-03-01""}",0.8,"2023-01-17T14:20:00Z"
person_1,skill_1,HAS_SKILL,"{""proficiency"": ""expert"", ""years_experience"": 5}",0.95,"2023-01-15T10:30:00Z"
person_1,skill_2,HAS_SKILL,"{""proficiency"": ""expert"", ""years_experience"": 8}",0.9,"2023-01-15T10:30:00Z"
person_2,skill_1,HAS_SKILL,"{""proficiency"": ""expert"", ""years_experience"": 6}",0.9,"2023-01-16T09:15:00Z"
person_2,skill_3,HAS_SKILL,"{""proficiency"": ""expert"", ""years_experience"": 4}",0.95,"2023-01-16T09:15:00Z"
person_3,skill_4,HAS_SKILL,"{""proficiency"": ""expert"", ""years_experience"": 7}",0.9,"2023-01-17T14:20:00Z"
project_1,company_1,OWNED_BY,"{""budget"": 500000, ""priority"": ""high""}",0.8,"2023-02-01T16:30:00Z"
project_2,company_2,OWNED_BY,"{""budget"": 200000, ""priority"": ""medium""}",0.7,"2023-02-05T13:00:00Z"
project_3,company_1,OWNED_BY,"{""budget"": 300000, ""priority"": ""high""}",0.8,"2023-02-10T10:15:00Z"
person_1,project_1,CONTRIBUTES_TO,"{""role"": ""lead"", ""contribution"": ""architecture""}",0.9,"2023-02-01T16:30:00Z"
person_2,project_2,CONTRIBUTES_TO,"{""role"": ""lead"", ""contribution"": ""nlp_models""}",0.9,"2023-02-05T13:00:00Z"
person_3,project_1,MANAGES,"{""start_date"": ""2023-02-01"", ""responsibility"": ""full""}",0.8,"2023-02-01T16:30:00Z"
project_1,technology_1,USES_TECHNOLOGY,"{""usage_type"": ""primary"", ""version"": ""2.10""}",0.8,"2023-02-01T16:30:00Z"
project_1,technology_3,USES_TECHNOLOGY,"{""usage_type"": ""storage"", ""version"": ""5.0""}",0.7,"2023-02-01T16:30:00Z"
project_2,technology_2,USES_TECHNOLOGY,"{""usage_type"": ""primary"", ""version"": ""1.13""}",0.8,"2023-02-05T13:00:00Z"
project_2,technology_4,USES_TECHNOLOGY,"{""usage_type"": ""search"", ""version"": ""8.0""}",0.6,"2023-02-05T13:00:00Z"
project_3,technology_3,USES_TECHNOLOGY,"{""usage_type"": ""primary"", ""version"": ""5.0""}",0.9,"2023-02-10T10:15:00Z"
person_1,person_2,COLLABORATES_WITH,"{""projects"": [""project_1""], ""frequency"": ""weekly""}",0.7,"2023-02-15T12:00:00Z"
company_1,company_2,PARTNERS_WITH,"{""partnership_type"": ""technology"", ""start_date"": ""2023-01-01""}",0.5,"2023-01-01T00:00:00Z"