id,name,type,description,tags,created_at
person_1,"John Doe",Person,"Software engineer specializing in machine learning","programming,ai,python","2023-01-15T10:30:00Z"
person_2,"Jane Smith",Person,"Data scientist with expertise in NLP","nlp,python,research","2023-01-16T09:15:00Z"
person_3,"Bob Johnson",Person,"Product manager for AI products","product,ai,strategy","2023-01-17T14:20:00Z"
company_1,"TechCorp",Company,"Leading AI technology company","technology,ai,enterprise","2023-01-10T08:00:00Z"
company_2,"DataSys",Company,"Data analytics platform provider","analytics,data,saas","2023-01-12T11:45:00Z"
project_1,"AutoML Platform",Project,"Automated machine learning platform","ml,automation,platform","2023-02-01T16:30:00Z"
project_2,"NLP Pipeline",Project,"Natural language processing pipeline","nlp,pipeline,text","2023-02-05T13:00:00Z"
project_3,"Knowledge Graph",Project,"Enterprise knowledge graph system","graph,knowledge,semantic","2023-02-10T10:15:00Z"
skill_1,"Machine Learning",Skill,"Ability to develop ML models and algorithms","ml,algorithms,models","2023-01-01T00:00:00Z"
skill_2,"Python Programming",Skill,"Proficiency in Python programming language","python,programming,development","2023-01-01T00:00:00Z"
skill_3,"Natural Language Processing",Skill,"Expertise in NLP techniques and applications","nlp,text,ai","2023-01-01T00:00:00Z"
skill_4,"Product Management",Skill,"Skills in product strategy and development","product,strategy,management","2023-01-01T00:00:00Z"
technology_1,"TensorFlow",Technology,"Open-source machine learning framework","ml,framework,google","2023-01-01T00:00:00Z"
technology_2,"PyTorch",Technology,"Deep learning framework by Meta","dl,framework,meta","2023-01-01T00:00:00Z"
technology_3,"Neo4j",Technology,"Graph database management system","graph,database,nosql","2023-01-01T00:00:00Z"
technology_4,"Elasticsearch",Technology,"Search and analytics engine","search,analytics,engine","2023-01-01T00:00:00Z"